name,label,description,bbox_str,beginPosition,timeResolution,endPosition,prefix
airnow.pm25,pm25(ug/m3),UTC hourly mean surface measured particulate matter (aerosols) 2.5 microns or smaller in diameter in micrograms per cubic meter.,-157 21 -51 59,2003-01-02T00:00:00Z,PT1H,now,airnow
airnow.pm10,pm10(ug/m3),UTC hourly mean surface measured particulate matter (aerosols) 10 microns or smaller in diameter in micrograms per cubic meter.,-157 21 -51 59,2003-01-02T00:00:00Z,PT1H,now,airnow
airnow.ozone,ozone(ppb),UTC hourly mean surface measured ozone concentration in part-per-billion.,-157 21 -51 64,2003-01-02T00:00:00Z,PT1H,now,airnow
airnow.no,no(ppb),UTC hourly mean surface measured nitric oxide concentration in part-per-billion.,-157 21 -51 64,2003-01-02T00:00:00Z,PT1H,now,airnow
airnow.no2,no2(ppb),UTC hourly mean surface measured nitrogen dioxide concentration in part-per-billion.,-157 21 -51 64,2003-01-02T00:00:00Z,PT1H,now,airnow
airnow.nox,nox(ppb),UTC hourly mean surface measured nitrous oxide concentration in part-per-billion.,-157 21 -51 64,2003-01-02T00:00:00Z,PT1H,now,airnow
airnow.so2,so2(ppb),UTC hourly mean surface measured sulfur dioxide concentration in part-per-billion.,-157 21 -51 64,2003-01-02T00:00:00Z,PT1H,now,airnow
airnow.co,co(ppm),UTC hourly mean surface measured carbon monoxide concentration in part-per-million.,-157 21 -51 64,2003-01-02T00:00:00Z,PT1H,now,airnow
airnow.temperature,temperature(C),UTC hourly mean surface measured air temperature (C).,-157 21 -51 64,2003-01-02T00:00:00Z,PT1H,now,airnow
airnow.pressure,pressure(hPa),UTC hourly mean surface measured atmospheric pressure (hPa).,-157 21 -51 64,2003-01-02T00:00:00Z,PT1H,now,airnow
airnow.rh,rh(ppm),UTC hourly mean surface measured relative humidity (%).,-157 21 -51 64,2003-01-02T00:00:00Z,PT1H,now,airnow
airnow2.pm25,pm25(ug/m3),UTC hourly mean surface measured particulate matter (aerosols) 2.5 microns or smaller in diameter in micrograms per cubic meter.,-157 21 -51 59,2003-01-02T00:00:00Z,PT1H,now,airnow2
airnow2.ozone,ozone(ppb),UTC hourly mean surface measured ozone concentration in part-per-billion.,-157 21 -51 64,2003-01-02T00:00:00Z,PT1H,now,airnow2
airnow2.no2,no2(ppb),UTC hourly mean surface measured nitrogen dioxide concentration in part-per-billion.,-157 21 -51 64,2003-01-02T00:00:00Z,PT1H,now,airnow2
airnow2.so2,so2(ppb),UTC hourly mean surface measured sulfur dioxide concentration in part-per-billion.,-157 21 -51 64,2003-01-02T00:00:00Z,PT1H,now,airnow2
airnow2.co,co(ppm),UTC hourly mean surface measured carbon monoxide concentration in part-per-million.,-157 21 -51 64,2003-01-02T00:00:00Z,PT1H,now,airnow2
aqs.pams,pams(-),Photochemical Assessment Monitoring Stations (PAMS) site ids.,-180 -90 180 90,19940501T00:00:00Z,PT1Y,now,aqs
aqs.ozone,ozone(ppb),UTC hourly mean surface measured ozone concentration in part-per-billion.,-180 -90 180 90,19940501T00:00:00Z,PT1Y,now,aqs
aqs.ozone_8hour_average,ozone_8hour_average(ppb),Local hourly mean of preceeding 8 hours surface measured ozone concentration in part-per-billion.,-180 -90 180 90,19940501T00:00:00Z,PT1Y,now,aqs
aqs.ozone_daily_8hour_maximum,ozone_daily_8hour_maximum(ppb),Local daily maximum of 8 hour means surface measured ozone concentration in part-per-billion.,-180 -90 180 90,19940501T00:00:00Z,PT1Y,now,aqs
